,UserID,CreatedAt,CollectedAt,NumberOfFollowings,NumberOfFollowers,NumberOfTweets,LengthOfScreenName,LengthOfDescriptionInUserProfile,BadUser
5857,61932874,7/31/2009 20:59,1/1/2010 0:22,1351,767,87,15,160,1
4994,53389291,7/3/2009 8:50,1/1/2010 0:22,1413,1082,466,13,149,1
7865,80910809,10/8/2009 13:32,1/1/2010 0:22,1852,1123,231,11,145,1
4733,49911277,6/23/2009 2:01,1/1/2010 0:22,866,1485,74,8,0,1
7475,78144979,9/28/2009 17:47,1/1/2010 0:23,3353,3347,798,14,70,1
11455,100910119,12/31/2009 23:23,1/1/2010 0:23,67,1,2,13,0,1
2967,30323406,4/10/2009 16:57,1/1/2010 0:33,1936,855,127,15,55,1
6388,67007483,8/19/2009 9:03,1/1/2010 0:33,18316,19548,3362,14,125,1
8726,87631976,11/5/2009 0:41,1/1/2010 0:33,1555,1161,396,11,91,1
6544,68790423,8/25/2009 14:54,1/1/2010 0:46,3434,3296,865,9,80,1
10028,95127591,12/6/2009 21:31,1/1/2010 0:46,362,94,21,11,0,1
11409,100827492,12/31/2009 13:14,1/1/2010 0:47,952,10,0,7,157,1
8777,88013323,11/6/2009 13:26,1/1/2010 0:47,827,208,217,11,27,1
9239,90932034,11/18/2009 12:49,1/1/2010 0:47,791,119,227,13,51,1
9237,90931620,11/18/2009 12:47,1/1/2010 0:47,836,149,238,14,68,1
8339,85067955,10/25/2009 7:13,1/1/2010 0:48,1684,700,2585,9,64,1
9046,89837249,11/13/2009 18:56,1/1/2010 10:24,1499,638,931,8,51,1
11491,100979862,1/1/2010 7:54,1/1/2010 10:27,357,0,1,12,26,1
5963,62775913,8/4/2009 4:58,1/1/2010 10:47,7616,7011,2950,14,104,1
8261,84332050,10/22/2009 9:03,1/1/2010 10:48,2886,2691,1036,14,66,1
954,16900750,10/21/2008 23:54,1/1/2010 10:50,240,37,4,7,0,1
