,NumberOfFollowings,NumberOfFollowers,NumberOfTweets,LengthOfScreenName,LengthOfDescriptionInUserProfile,BadUser
5857,1351,767,87,15,160,1
4994,1413,1082,466,13,149,1
7865,1852,1123,231,11,145,1
4733,866,1485,74,8,0,1
7475,3353,3347,798,14,70,1
11455,67,1,2,13,0,1
2967,1936,855,127,15,55,1
6388,18316,19548,3362,14,125,1
8726,1555,1161,396,11,91,1
6544,3434,3296,865,9,80,1
10028,362,94,21,11,0,1
11409,952,10,0,7,157,1
8777,827,208,217,11,27,1
9239,791,119,227,13,51,1
9237,836,149,238,14,68,1
8339,1684,700,2585,9,64,1
9046,1499,638,931,8,51,1
11491,357,0,1,12,26,1
5963,7616,7011,2950,14,104,1
8261,2886,2691,1036,14,66,1
954,240,37,4,7,0,1
72,3051,3534,818,13,155,1
1722,39309,36143,5263,15,153,1
824,4903,4901,1214,13,85,1
46,16967,15424,11152,9,36,1
11428,210,0,0,14,0,1
11435,950,3,0,9,31,1
9677,880,23,22,8,103,1
3719,4904,4458,1446,15,159,1
1445,3276,2984,459,7,0,1
8776,1184,275,310,8,33,1
2861,1273,1031,1229,10,135,1
7267,1910,1617,269,12,75,1
2152,31732,33989,298,13,67,1
9733,2051,1950,181,12,159,1
915,41840,40143,705,9,52,1
775,29566,29230,7705,10,146,1
3177,10,1,6,7,0,1
4520,7578,7422,9887,13,69,1
11129,489,116,42,15,75,1
6434,545,314,599,15,47,1
10480,969,326,447,15,54,1
1979,1421,102,7,13,0,1
4566,413,129,18,15,54,1
10492,1216,1000,495,11,80,1
5479,1938,1354,1465,9,69,1
94,10293,9794,1906,15,98,1
5889,1272,1013,1618,13,28,1
7723,1627,1260,431,14,76,1
10986,1440,581,132,10,35,1
10109,759,592,138,14,55,1
10160,189,0,12,10,0,1
11593,794,13,1,15,28,1
11427,975,4,0,11,84,1
8825,1077,153,281,14,63,1
7835,1407,1355,207,12,112,1
8844,534,16,1,11,0,1
5945,1065,783,14112,13,0,1
4562,4055,4036,822,13,120,1
8843,947,49,1,13,0,1
8839,904,14,0,13,0,1
